
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
42:5A:95:60:14:8E, 2026-08-08 20:29:42, 2026-08-08 20:29:45,  8, 130, WPA2, CCMP, PSK, -75,        5,        0,   0.  0.  0.  0,   0, , 
10:5A:95:60:14:8E, 2026-08-08 20:29:42, 2026-08-08 20:29:49,  8, 130, WPA2, CCMP, PSK, -74,        6,        0,   0.  0.  0.  0,  10, Raju Ahmed, 
C8:3A:35:01:DA:B0, 2026-08-08 20:29:42, 2026-08-08 20:29:46,  3, 130, WPA2, CCMP, PSK, -78,        7,        0,   0.  0.  0.  0,   5, Rana7, 
82:3D:D1:3C:6B:8E, 2026-08-08 20:29:42, 2026-08-08 20:29:50,  3, 130, WPA2, CCMP, PSK, -74,       10,        0,   0.  0.  0.  0,   0, , 
84:D8:1B:45:19:E5, 2026-08-08 20:29:42, 2026-08-08 20:29:42,  3, 270, WPA2, CCMP, PSK, -80,        3,        0,   0.  0.  0.  0,   6, Dilara, 
D8:32:14:66:5E:28, 2026-08-08 20:29:42, 2026-08-08 20:29:49,  3, 130, WPA2, CCMP, PSK, -72,        6,        0,   0.  0.  0.  0,   5, Mahim, 
98:DE:D0:57:DA:1C, 2026-08-08 20:29:42, 2026-08-08 20:29:50,  9, 130, WPA2 WPA, CCMP, PSK, -79,        5,        0,   0.  0.  0.  0,   3, Eva, 
7C:8B:CA:7F:28:02, 2026-08-08 20:29:42, 2026-08-08 20:29:50,  9, 130, WPA2, CCMP, PSK, -80,        4,        0,   0.  0.  0.  0,   8, Shuparna, 
D8:44:89:2B:E0:A9, 2026-08-08 20:29:42, 2026-08-08 20:29:50,  9, 270, WPA2, CCMP, PSK, -72,        5,        0,   0.  0.  0.  0,  23, SK Trade International , 
7C:F1:7E:B2:60:8C, 2026-08-08 20:29:43, 2026-08-08 20:29:46,  4, 270, WPA2, CCMP, PSK, -80,        3,        0,   0.  0.  0.  0,   9, Shorif_2G, 
C0:3A:55:6B:AC:BE, 2026-08-08 20:29:43, 2026-08-08 20:29:46,  4, 130, WPA2, CCMP, PSK, -76,        6,        0,   0.  0.  0.  0,   5, Rasel, 
C0:06:C3:B6:A3:AE, 2026-08-08 20:29:43, 2026-08-08 20:29:43,  4, 270, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,  15, Mohammad  Ashik, 
6C:4C:BC:EC:B8:AC, 2026-08-08 20:29:43, 2026-08-08 20:29:50,  4, 270, WPA2, CCMP, PSK, -73,        8,        0,   0.  0.  0.  0,   7, Nilufar, 
F2:3A:55:6B:AC:BE, 2026-08-08 20:29:43, 2026-08-08 20:29:50,  4, 130, WPA2, CCMP, PSK, -74,        5,        0,   0.  0.  0.  0,   5, ....., 
40:ED:00:4A:2B:F7, 2026-08-08 20:29:43, 2026-08-08 20:29:46,  4, 270, WPA2, CCMP, PSK, -83,        2,        0,   0.  0.  0.  0,   8, Sourav 6, 
50:0F:F5:FB:AC:18, 2026-08-08 20:29:43, 2026-08-08 20:29:50, 11, 130, WPA2, CCMP, PSK, -72,        5,        0,   0.  0.  0.  0,   7, Nurnobi, 
94:A6:7E:B5:D4:DA, 2026-08-08 20:29:43, 2026-08-08 20:29:50, 10, 130, WPA2, CCMP, PSK, -81,        7,        0,   0.  0.  0.  0,   6, RIYANA, 
FE:BA:BD:66:D0:7A, 2026-08-08 20:29:43, 2026-08-08 20:29:50, 10, 130, WPA2, CCMP, PSK, -79,        8,        0,   0.  0.  0.  0,   5, ....., 
1C:61:B4:BD:B6:8A, 2026-08-08 20:29:43, 2026-08-08 20:29:50, 10, 270, WPA2, CCMP, PSK, -83,        7,        0,   0.  0.  0.  0,  12, Tanvir Wifi , 
30:16:9D:D1:70:BE, 2026-08-08 20:29:43, 2026-08-08 20:29:50, 10, 270, WPA2, CCMP, PSK, -83,        2,        0,   0.  0.  0.  0,  14, Bachelor House, 
1C:3B:F3:C8:21:6E, 2026-08-08 20:29:43, 2026-08-08 20:29:50,  5, 360, WPA2, CCMP, PSK, -71,        5,        0,   0.  0.  0.  0,   9, MailyGuli, 
B6:95:75:43:4B:46, 2026-08-08 20:29:43, 2026-08-08 20:29:50,  5, 360, WPA2, CCMP, PSK, -74,        7,        0,   0.  0.  0.  0,   0, , 
22:3B:F3:C8:21:6E, 2026-08-08 20:29:43, 2026-08-08 20:29:50,  5, 360, WPA2, CCMP, PSK, -71,        5,        0,   0.  0.  0.  0,   0, , 
F0:B4:D2:0D:42:CF, 2026-08-08 20:29:43, 2026-08-08 20:29:50,  5, 270, WPA2, CCMP TKIP, PSK, -67,        6,        0,   0.  0.  0.  0,   6, Tasnim, 
B0:95:75:43:4B:46, 2026-08-08 20:29:43, 2026-08-08 20:29:50,  5, 360, WPA2, CCMP, PSK, -73,        5,        0,   0.  0.  0.  0,   9, MailyGuli, 
50:D4:F7:15:F1:F0, 2026-08-08 20:29:43, 2026-08-08 20:29:47, 11, 270, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,  10, Sweet home, 
60:83:E7:A8:EA:4E, 2026-08-08 20:29:43, 2026-08-08 20:29:47, 11, 130, WPA2, CCMP, PSK, -79,        3,        0,   0.  0.  0.  0,   8, SARA NET, 
62:83:E7:A9:EA:4E, 2026-08-08 20:29:44, 2026-08-08 20:29:47, 11, 130, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,   0, , 
04:5E:A4:0A:33:77, 2026-08-08 20:29:44, 2026-08-08 20:29:47,  6, 270, WPA2, CCMP TKIP, PSK, -80,       12,        0,   0.  0.  0.  0,   6, Lahin6, 
18:D6:C7:DC:03:2A, 2026-08-08 20:29:44, 2026-08-08 20:29:47,  6, 135, WPA2, CCMP, PSK, -75,        3,        0,   0.  0.  0.  0,   7, Mamun 6, 
9A:4A:6B:84:D1:D2, 2026-08-08 20:29:44, 2026-08-08 20:29:48,  1, 360, WPA2, CCMP, PSK, -82,        3,        0,   0.  0.  0.  0,   7, Salman., 
70:4F:57:B3:5D:00, 2026-08-08 20:29:44, 2026-08-08 20:29:48,  1, 270, WPA2, CCMP, PSK, -76,        1,        0,   0.  0.  0.  0,  17, Pathorer Prithibi, 
5C:E9:31:C7:F1:1E, 2026-08-08 20:29:44, 2026-08-08 20:29:48,  1, 130, WPA2, CCMP, PSK, -76,        4,        0,   0.  0.  0.  0,  27, ব্যাসেলার, 
C0:A5:DD:1B:29:56, 2026-08-08 20:29:44, 2026-08-08 20:29:44,  1, 270, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,   5, Salma, 
98:25:4A:CA:FA:04, 2026-08-08 20:29:45, 2026-08-08 20:29:49,  2, 270, WPA2, CCMP, PSK, -62,        6,        0,   0.  0.  0.  0,  11, Wifi House , 
E0:1C:FC:A8:D4:34, 2026-08-08 20:29:46, 2026-08-08 20:29:46,  3, 270, WPA2, CCMP TKIP, PSK, -78,        3,        0,   0.  0.  0.  0,   5, saima, 
B0:4E:26:26:AC:B2, 2026-08-08 20:29:46, 2026-08-08 20:29:46,  3,  -1, WPA, ,   , -84,        0,        1,   0.  0.  0.  0,   0, , 
B4:0F:3B:46:85:88, 2026-08-08 20:29:46, 2026-08-08 20:29:50,  4,  -1, WPA, ,   , -73,        0,        2,   0.  0.  0.  0,   0, , 
B2:19:21:28:98:64, 2026-08-08 20:29:47, 2026-08-08 20:29:47,  6, 360, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   0, , 
CC:2D:21:34:48:28, 2026-08-08 20:29:48, 2026-08-08 20:29:48,  6, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,   6, Prapty, 
F4:8C:EB:A1:FD:35, 2026-08-08 20:29:48, 2026-08-08 20:29:48,  7, 270, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  10, MONIR_wifi, 
74:FE:CE:F3:B7:1E, 2026-08-08 20:29:49, 2026-08-08 20:29:49,  2, 270, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   5, Nafiz, 
50:3D:D1:3C:6B:8E, 2026-08-08 20:29:50, 2026-08-08 20:29:50,  3, 130, WPA2, CCMP, PSK, -71,        1,        0,   0.  0.  0.  0,   4, Aadi, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
74:24:CA:88:DF:E9, 2026-08-08 20:29:41, 2026-08-08 20:29:41, -78,        2, 58:D9:D5:29:C4:11,
56:14:04:FA:21:A1, 2026-08-08 20:29:42, 2026-08-08 20:29:46, -88,        3, 98:DE:D0:57:DA:1C,
9E:0B:C9:5D:F6:50, 2026-08-08 20:29:43, 2026-08-08 20:29:43, -83,        1, C0:06:C3:B6:A3:AE,
0A:15:8F:2C:47:7F, 2026-08-08 20:29:43, 2026-08-08 20:29:47, -81,        8, 50:D4:F7:15:F1:F0,
F2:D9:02:1F:E3:BC, 2026-08-08 20:29:44, 2026-08-08 20:29:44, -78,        1, 18:D6:C7:DC:03:2A,
FA:5E:CA:1C:FA:34, 2026-08-08 20:29:44, 2026-08-08 20:29:44, -75,        3, (not associated) ,
EA:1F:36:AE:89:25, 2026-08-08 20:29:44, 2026-08-08 20:29:44, -83,        1, 9A:4A:6B:84:D1:D2,
DE:36:D2:CE:82:CE, 2026-08-08 20:29:45, 2026-08-08 20:29:45, -78,        2, (not associated) ,Shimu_5G
72:99:2D:9B:32:7D, 2026-08-08 20:29:45, 2026-08-08 20:29:49,  -1,       45, B0:0A:D5:3E:D7:68,
F4:60:E2:FF:2D:CA, 2026-08-08 20:29:46, 2026-08-08 20:29:46, -84,       13, D8:32:14:66:5E:28,
0A:2F:EB:9E:AA:C0, 2026-08-08 20:29:47, 2026-08-08 20:29:47, -82,        2, 94:A6:7E:B5:D4:DA,
50:02:91:B9:C1:DA, 2026-08-08 20:29:47, 2026-08-08 20:29:48, -83,        2, (not associated) ,":null,"key":null,"local_key":nu
46:BD:E8:00:81:16, 2026-08-08 20:29:47, 2026-08-08 20:29:50, -80,        5, B4:0F:3B:46:85:88,

